id,total_seen,wins,losses,winrate,entry_time,last_seen_time,word,translation,ipa,illustration
ffab32d5-9159-4a49-9a84-be780185e2ec,17,8,9,0.4705882352941176,2024-05-03 21:13:33.248205,2024-05-04 21:57:07.350485,Estar a la altura de las circunstancias,To be up to the circumstances,ɛsˈtɑːr ɑː lɑː ɑːlˈtʊrɑː dɛ lɑːs sɪrkʊnˈstɑːnsɪɑːs,🧍➡️⬆️🌍
e59bdb59-797c-493e-9fbe-018d57c0f1bd,21,4,17,0.1904761904761904,2024-05-03 21:13:33.248205,2024-05-05 09:29:45.724502,Dar la talla,To measure up,dɑːr lɑː ˈtɑːʎɑː,👕✔️
433fe5d8-2b08-4f41-ab55-ca2c716e02b2,9,3,6,0.3333333333333333,2024-05-03 21:13:33.248205,2024-05-05 09:29:56.748046,Echar raíces,To put down roots,ɛˈtʃɑːr rɑːˈisɛs,🌳🌱🌿
78b364f4-0680-4fc4-b207-8f5089aa8159,18,6,12,0.3333333333333333,2024-05-03 21:13:33.248205,2024-05-05 09:30:07.597885,Estar en la cuerda floja,To be walking a tightrope,ɛsˈtɑːr ɛn lɑː ˈkwɛrdɑː ˈflɔːxɑː,🧍🤸‍♀️
ad5984b2-f044-40b0-9196-6ea589ddb01f,21,5,16,0.238095238095238,2024-05-03 21:13:33.248205,2024-05-04 21:57:14.441949,Tener la sartén por el mango,To have the upper hand,tɛˈnɛr lɑː sɑːrˈtɛn pɔːr ɛl ˈmɑːŋɡɔː,🍳✋
16d842c5-9f96-4471-b9af-263e81f0019f,12,3,9,0.25,2024-05-03 21:13:33.248205,2024-05-04 19:37:43.734850,Tener mucha labia,To be very persuasive,tɛˈnɛr ˈmʊtʃɑː ˈlɑːβjɑː,👄💨
f474a07c-26fd-4573-b2af-de236409eb63,2,2,0,1.0,2024-05-03 21:13:33.248205,2024-05-03 21:42:23.556979,Estar en Babia,To be daydreaming,ɛsˈtɑːr ɛn ˈbɑːβjɑː,🧘‍♀️☁️
03febf72-a28e-4108-a50d-c3e1b14c8991,19,10,9,0.5263157894736842,2024-05-03 21:13:33.248205,2024-05-04 17:04:48.220067,Estar pez,To be broke,ɛsˈtɑːr pɛs,🐟💸
b35c52ff-d8cb-4634-bf2f-cd813ac0ef8c,28,2,26,0.0714285714285714,2024-05-03 21:13:33.248205,2024-05-04 21:56:30.771060,Estar como una cabra,To be restless,ɛsˈtɑːr ˈkɔːmɔː ˈʊnɑː ˈkɑːβrɑː,🐐🏃‍♀️
d1651dd3-639b-4721-b0e4-dd32a54011e1,12,7,5,0.5833333333333334,2024-05-03 21:13:33.248205,2024-05-04 13:04:58.975705,Estar en las nubes,To be in the clouds,ɛsˈtɑːr ɛn lɑːs ˈnʊβɛs,🧍☁️☁️
